,Country/Region,Total Deaths
0,Afghanistan,2899.0
1,Albania,2449.0
2,Algeria,3460.0
3,Andorra,127.0
4,Angola,757.0
5,Antigua and Barbuda,42.0
6,Argentina,77108.0
7,Armenia,4428.0
8,Australia,910.0
9,Austria,10592.0
10,Azerbaijan,4903.0
11,Bahamas,229.0
12,Bahrain,939.0
13,Bangladesh,12549.0
14,Barbados,47.0
15,Belarus,2831.0
16,Belgium,24921.0
17,Belize,324.0
18,Benin,101.0
19,Bhutan,1.0
20,Bolivia,14435.0
21,Bosnia and Herzegovina,9211.0
22,Botswana,831.0
23,Brazil,461057.0
24,Brunei,3.0
25,Bulgaria,17657.0
26,Burkina Faso,166.0
27,Burma,3216.0
28,Burundi,6.0
29,Cabo Verde,263.0
30,Cambodia,203.0
31,Cameroon,1275.0
32,Canada,25451.0
33,Central African Republic,98.0
34,Chad,173.0
35,Chile,29047.0
36,China,4829.0
37,Colombia,87747.0
38,Comoros,146.0
39,Congo (Brazzaville),153.0
40,Congo (Kinshasa),782.0
41,Costa Rica,3962.0
42,Cote d'Ivoire,303.0
43,Croatia,8002.0
44,Cuba,943.0
45,Cyprus,360.0
46,Czechia,30101.0
47,Denmark,2517.0
48,Diamond Princess,13.0
49,Djibouti,153.0
50,Dominica,0.0
51,Dominican Republic,3628.0
52,Ecuador,20485.0
53,Egypt,15001.0
54,El Salvador,2241.0
55,Equatorial Guinea,118.0
56,Eritrea,14.0
57,Estonia,1250.0
58,Eswatini,672.0
59,Ethiopia,4143.0
60,Fiji,4.0
61,Finland,948.0
62,France,109518.0
63,Gabon,150.0
64,Gambia,178.0
65,Georgia,4739.0
66,Germany,88413.0
67,Ghana,784.0
68,Greece,12024.0
69,Grenada,1.0
70,Guatemala,8121.0
71,Guinea,161.0
72,Guinea-Bissau,68.0
73,Guyana,382.0
74,Haiti,302.0
75,Holy See,0.0
76,Honduras,6296.0
77,Hungary,29709.0
78,Iceland,29.0
79,India,325972.0
80,Indonesia,50262.0
81,Iran,79741.0
82,Iraq,16334.0
83,Ireland,4941.0
84,Israel,6407.0
85,Italy,126002.0
86,Jamaica,942.0
87,Japan,12877.0
88,Jordan,9436.0
89,Kazakhstan,3442.0
90,Kenya,3141.0
91,Kiribati,0.0
92,"Korea, South",1957.0
93,Kosovo,2247.0
94,Kuwait,1764.0
95,Kyrgyzstan,1797.0
96,Laos,3.0
97,Latvia,2370.0
98,Lebanon,7718.0
99,Lesotho,326.0
100,Liberia,86.0
101,Libya,3116.0
102,Liechtenstein,58.0
103,Lithuania,4245.0
104,Luxembourg,814.0
105,MS Zaandam,2.0
106,Madagascar,829.0
107,Malawi,1154.0
108,Malaysia,2650.0
109,Maldives,157.0
110,Mali,517.0
111,Malta,419.0
112,Marshall Islands,0.0
113,Mauritania,463.0
114,Mauritius,17.0
115,Mexico,223455.0
116,Micronesia,0.0
117,Moldova,6100.0
118,Monaco,32.0
119,Mongolia,268.0
120,Montenegro,1583.0
121,Morocco,9138.0
122,Mozambique,836.0
123,Namibia,818.0
124,Nepal,7163.0
125,Netherlands,17889.0
126,New Zealand,26.0
127,Nicaragua,186.0
128,Niger,192.0
129,Nigeria,2071.0
130,North Macedonia,5398.0
131,Norway,783.0
132,Oman,2303.0
133,Pakistan,20736.0
134,Panama,6369.0
135,Papua New Guinea,162.0
136,Paraguay,8987.0
137,Peru,68978.0
138,Philippines,20722.0
139,Poland,73682.0
140,Portugal,17023.0
141,Qatar,554.0
142,Romania,30247.0
143,Russia,118781.0
144,Rwanda,352.0
145,Saint Kitts and Nevis,0.0
146,Saint Lucia,77.0
147,Saint Vincent and the Grenadines,12.0
148,Samoa,0.0
149,San Marino,90.0
150,Sao Tome and Principe,37.0
151,Saudi Arabia,7334.0
152,Senegal,1138.0
153,Serbia,6844.0
154,Seychelles,40.0
155,Sierra Leone,79.0
156,Singapore,32.0
157,Slovakia,12333.0
158,Slovenia,4372.0
159,Solomon Islands,0.0
160,Somalia,768.0
161,South Africa,56363.0
162,South Sudan,115.0
163,Spain,79905.0
164,Sri Lanka,1363.0
165,Sudan,2600.0
166,Suriname,288.0
167,Sweden,14451.0
168,Switzerland,10805.0
169,Syria,1763.0
170,Taiwan*,99.0
171,Tajikistan,90.0
172,Tanzania,21.0
173,Thailand,988.0
174,Timor-Leste,16.0
175,Togo,125.0
176,Trinidad and Tobago,470.0
177,Tunisia,12574.0
178,Turkey,47271.0
179,US,594306.0
180,Uganda,362.0
181,Ukraine,52414.0
182,United Arab Emirates,1673.0
183,United Kingdom,128037.0
184,Uruguay,4176.0
185,Uzbekistan,688.0
186,Vanuatu,1.0
187,Venezuela,2615.0
188,Vietnam,47.0
189,West Bank and Gaza,3492.0
190,Yemen,1319.0
191,Zambia,1276.0
192,Zimbabwe,1594.0
