,Country/Region,MonthEnd,MonthlyConfirmed,MonthlyDeaths,MonthlyRecovered
0,Afghanistan,2020-01-31,,,
1,Afghanistan,2020-02-29,6.0,0.0,0.0
2,Afghanistan,2020-03-31,1158.0,27.0,26.0
3,Afghanistan,2020-04-30,25910.0,863.0,2901.0
4,Afghanistan,2020-05-31,198600.0,4117.0,21202.0
5,Afghanistan,2020-06-30,525270.0,10009.0,160639.0
6,Afghanistan,2020-07-31,326303.0,18502.0,503349.0
7,Afghanistan,2020-08-31,86050.0,8583.0,155321.0
8,Afghanistan,2020-09-30,571.0,886.0,105666.0
9,Afghanistan,2020-10-31,82080.0,3300.0,90176.0
10,Afghanistan,2020-11-30,62163.0,2846.0,19444.0
11,Afghanistan,2020-12-31,214098.0,13224.0,149077.0
12,Afghanistan,2021-01-31,145910.0,9481.0,195883.0
13,Afghanistan,2021-02-28,-115017.0,-3974.0,-45397.0
14,Afghanistan,2021-03-31,183966.0,8363.0,183693.0
15,Afghanistan,2021-04-30,-3808.0,73.0,24449.0
16,Afghanistan,2021-05-31,116091.0,3223.0,29276.0
17,Albania,2020-01-31,,,
18,Albania,2020-02-29,0.0,0.0,0.0
19,Albania,2020-03-31,2232.0,91.0,241.0
20,Albania,2020-04-30,13400.0,637.0,7661.0
21,Albania,2020-05-31,13241.0,247.0,13858.0
22,Albania,2020-06-30,22007.0,246.0,10982.0
23,Albania,2020-07-31,68780.0,2081.0,34944.0
24,Albania,2020-08-31,110618.0,3643.0,52608.0
25,Albania,2020-09-30,119870.0,3341.0,80175.0
26,Albania,2020-10-31,172936.0,3445.0,104901.0
27,Albania,2020-11-30,343164.0,5508.0,118811.0
28,Albania,2020-12-31,674261.0,12618.0,394946.0
29,Albania,2021-01-31,547654.0,7623.0,431443.0
30,Albania,2021-02-28,522612.0,4557.0,372090.0
31,Albania,2021-03-31,1041420.0,19773.0,903197.0
32,Albania,2021-04-30,213465.0,6077.0,484182.0
33,Albania,2021-05-31,-41128.0,479.0,526319.0
34,Algeria,2020-01-31,,,
35,Algeria,2020-02-29,5.0,0.0,0.0
36,Algeria,2020-03-31,4818.0,324.0,594.0
37,Algeria,2020-04-30,64674.0,8489.0,23478.0
38,Algeria,2020-05-31,141897.0,8088.0,85732.0
39,Algeria,2020-06-30,126425.0,6699.0,123595.0
40,Algeria,2020-07-31,336467.0,9120.0,234073.0
41,Algeria,2020-08-31,510790.0,9708.0,359519.0
42,Algeria,2020-09-30,273214.0,6536.0,199980.0
43,Algeria,2020-10-31,225341.0,8228.0,150086.0
44,Algeria,2020-11-30,390753.0,8056.0,196795.0
45,Algeria,2020-12-31,809786.0,15984.0,528772.0
46,Algeria,2021-01-31,328098.0,6502.0,278896.0
47,Algeria,2021-02-28,-115554.0,-5431.0,-54597.0
48,Algeria,2021-03-31,481184.0,12011.0,354938.0
49,Algeria,2021-04-30,3440.0,379.0,13761.0
50,Algeria,2021-05-31,51427.0,2921.0,34915.0
51,Andorra,2020-01-31,,,
52,Andorra,2020-02-29,0.0,0.0,0.0
53,Andorra,2020-03-31,2787.0,39.0,37.0
54,Andorra,2020-04-30,16319.0,878.0,5599.0
55,Andorra,2020-05-31,4392.0,601.0,12869.0
56,Andorra,2020-06-30,2013.0,27.0,4734.0
57,Andorra,2020-07-31,1663.0,67.0,1638.0
58,Andorra,2020-08-31,4208.0,20.0,1800.0
59,Andorra,2020-09-30,13893.0,-42.0,5451.0
60,Andorra,2020-10-31,57792.0,305.0,36990.0
61,Andorra,2020-11-30,71840.0,371.0,74230.0
62,Andorra,2020-12-31,55208.0,212.0,66258.0
63,Andorra,2021-01-31,49111.0,327.0,44141.0
64,Andorra,2021-02-28,14186.0,181.0,23447.0
65,Andorra,2021-03-31,58963.0,513.0,59712.0
66,Andorra,2021-04-30,28258.0,138.0,24330.0
67,Andorra,2021-05-31,10701.0,44.0,18983.0
68,Angola,2020-01-31,,,
69,Angola,2020-02-29,0.0,0.0,0.0
70,Angola,2020-03-31,48.0,6.0,1.0
71,Angola,2020-04-30,553.0,54.0,128.0
72,Angola,2020-05-31,1038.0,25.0,337.0
73,Angola,2020-06-30,3021.0,125.0,1202.0
74,Angola,2020-07-31,15389.0,705.0,4040.0
75,Angola,2020-08-31,39111.0,1712.0,16575.0
76,Angola,2020-09-30,52309.0,1641.0,19616.0
77,Angola,2020-10-31,121880.0,3057.0,52277.0
78,Angola,2020-11-30,171068.0,2311.0,101916.0
79,Angola,2020-12-31,103601.0,2050.0,90659.0
80,Angola,2021-01-31,72271.0,1795.0,186649.0
81,Angola,2021-02-28,-10781.0,216.0,53706.0
82,Angola,2021-03-31,96787.0,2496.0,90995.0
83,Angola,2021-04-30,59776.0,658.0,50505.0
84,Angola,2021-05-31,153219.0,2598.0,78049.0
85,Antigua and Barbuda,2020-01-31,,,
86,Antigua and Barbuda,2020-02-29,0.0,0.0,0.0
87,Antigua and Barbuda,2020-03-31,61.0,0.0,0.0
88,Antigua and Barbuda,2020-04-30,556.0,62.0,125.0
89,Antigua and Barbuda,2020-05-31,159.0,31.0,436.0
