,Country/Region,MonthEnd,MonthlyConfirmed,MonthlyDeaths,MonthlyRecovered
391,Brazil,2020-01-31,,,
392,Brazil,2020-02-29,5.0,0.0,0.0
393,Brazil,2020-03-31,37122.0,976.0,290.0
394,Brazil,2020-04-30,1011379.0,65595.0,400603.0
395,Brazil,2020-05-31,6895779.0,442459.0,2805841.0
396,Brazil,2020-06-30,20216937.0,844362.0,11574001.0
397,Brazil,2020-07-31,34480643.0,1017084.0,29080698.0
398,Brazil,2020-08-31,40262031.0,974929.0,38525136.0
399,Brazil,2020-09-30,29156066.0,658947.0,32216141.0
400,Brazil,2020-10-31,28931577.0,728437.0,26752232.0
401,Brazil,2020-11-30,15845882.0,253530.0,18219272.0
402,Brazil,2020-12-31,41412316.0,716229.0,34410153.0
403,Brazil,2021-01-31,42937405.0,781138.0,37945122.0
404,Brazil,2021-02-28,15268958.0,229656.0,14567249.0
405,Brazil,2021-03-31,84603564.0,2113173.0,72076026.0
406,Brazil,2021-04-30,51505451.0,2125899.0,44602280.0
407,Brazil,2021-05-31,38911808.0,1624355.0,36041759.0
1445,Italy,2020-01-31,,,
1446,Italy,2020-02-29,3964.0,102.0,145.0
1447,Italy,2020-03-31,1205806.0,116514.0,145426.0
1448,Italy,2020-04-30,3718752.0,527555.0,1120947.0
1449,Italy,2020-05-31,1986339.0,329414.0,2439752.0
1450,Italy,2020-06-30,200369.0,55256.0,1578702.0
1451,Italy,2020-07-31,445513.0,56086.0,783019.0
1452,Italy,2020-08-31,358877.0,10219.0,251930.0
1453,Italy,2020-09-30,829739.0,-25266.0,160533.0
1454,Italy,2020-10-31,4531855.0,67955.0,1302052.0
1455,Italy,2020-11-30,22043158.0,247280.0,6305868.0
1456,Italy,2020-12-31,22968708.0,661109.0,21712555.0
1457,Italy,2021-01-31,14624195.0,485566.0,17977988.0
1458,Italy,2021-02-28,3512552.0,90266.0,8618717.0
1459,Italy,2021-03-31,24733084.0,578944.0,19422761.0
1460,Italy,2021-04-30,13636549.0,271382.0,14307676.0
1461,Italy,2021-05-31,5287254.0,118839.0,10602702.0
3043,US,2020-01-31,,,
3044,US,2020-02-29,361.0,1.0,88.0
3045,US,2020-03-31,1119720.0,25979.0,19642.0
3046,US,2020-04-30,18839165.0,1044264.0,1728247.0
3047,US,2020-05-31,25574619.0,1732749.0,6972070.0
3048,US,2020-06-30,19430856.0,771566.0,8714250.0
3049,US,2020-07-31,46406390.0,753549.0,16594083.0
3050,US,2020-08-31,54986226.0,941371.0,22849122.0
3051,US,2020-09-30,32862803.0,619577.0,18609313.0
3052,US,2020-10-31,52186034.0,907535.0,24019464.0
3053,US,2020-11-30,88390116.0,708268.0,28964432.0
3054,US,2020-12-31,188343444.0,2172128.0,-53790709.0
3055,US,2021-01-31,202754971.0,2766959.0,-74680002.0
3056,US,2021-02-28,43359515.0,1189760.0,0.0
3057,US,2021-03-31,142389576.0,3015927.0,0.0
3058,US,2021-04-30,27899856.0,318361.0,0.0
3059,US,2021-05-31,8986222.0,13914.0,0.0
